player,nation,pos,squad,comp,age,born,mp,starts,min,x90s,gls,ast,g_pk,pk,p_katt,crd_y,crd_r,gls_per_90,ast_per_90,gls_ast_per_90,gls_minus_ast_per_90,gls_plus_ast_minus_pk_per_90,xg,npxg,xa,npxg_plus_xa,xg_per_90,xa_per_90,xg_plus_xa_per_90,npxg_per_90,npxg_plus_xa_per_90
Nayef Aguerd,MAR,DF,Rennes,Ligue 1,24,1996,35,35,3147,35,3,1,3,0,0,6,0,0.09,0.03,0.11,0.09,0.11,2.9,2.9,0.9,3.8,0.08,0.03,0.11,0.08,0.11
Sergio Agüero,ARG,"FW,MF",Manchester City,English Premier League,32,1988,12,7,559,6.2,4,1,3,1,2,0,0,0.64,0.16,0.81,0.48,0.64,3.4,1.8,1.3,3.1,0.54,0.21,0.75,0.3,0.51
Ruben Aguilar,FRA,"DF,FW",Monaco,Ligue 1,27,1993,33,27,2225,24.7,1,3,1,0,0,6,0,0.04,0.12,0.16,0.04,0.16,1.2,1.2,4.6,5.8,0.05,0.19,0.23,0.05,0.23
Naouirou Ahamada,FRA,MF,Stuttgart,Bundesliga,18,2002,6,3,252,2.8,0,0,0,0,0,2,1,0,0,0,0,0,0.3,0.3,0,0.4,0.12,0.02,0.13,0.12,0.13
Matteo Ahlinvi,BEN,MF,Nîmes,Ligue 1,21,1999,20,10,899,10,2,0,2,0,0,0,0,0.2,0,0.2,0.2,0.2,1.6,1.6,0.3,1.9,0.16,0.03,0.19,0.16,0.19
Jean-Eudes Aholou,CIV,MF,Strasbourg,Ligue 1,26,1994,27,26,2146,23.8,2,2,2,0,0,9,0,0.08,0.08,0.17,0.08,0.17,2.3,2,1.2,3.1,0.1,0.05,0.15,0.08,0.13
Jean-Eudes Aholou,CIV,MF,Monaco,Ligue 1,26,1994,2,0,36,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.26,0,0.26,0.26,0.26
Joseph Aidoo,GHA,DF,Celta Vigo,La Liga,24,1995,25,14,1289,14.3,0,0,0,0,0,3,0,0,0,0,0,0,0.8,0.8,0.6,1.4,0.06,0.04,0.1,0.06,0.1
Ola Aina,NGA,DF,Fulham,English Premier League,23,1996,31,31,2664,29.6,2,1,2,0,0,3,0,0.07,0.03,0.1,0.07,0.1,1,1,1.4,2.3,0.03,0.05,0.08,0.03,0.08
Rayan Aït Nouri,FRA,DF,Angers,Ligue 1,19,2001,3,2,187,2.1,0,1,0,0,0,0,0,0,0.48,0.48,0,0.48,0.1,0.1,0.4,0.4,0.04,0.17,0.21,0.04,0.21
Rayan Aït Nouri,FRA,DF,Wolves,English Premier League,19,2001,21,16,1404,15.6,1,1,1,0,0,1,0,0.06,0.06,0.13,0.06,0.13,0.6,0.6,1,1.6,0.04,0.06,0.1,0.04,0.1
Semi Ajayi,NGA,DF,West Brom,English Premier League,26,1993,33,31,2780,30.9,2,0,2,0,0,3,1,0.06,0,0.06,0.06,0.06,1.3,1.3,0.3,1.5,0.04,0.01,0.05,0.04,0.05
Ludovic Ajorque,REU,FW,Strasbourg,Ligue 1,26,1994,35,34,2967,33,16,4,12,4,5,5,0,0.49,0.12,0.61,0.36,0.49,16.5,12.7,3.7,16.4,0.5,0.11,0.61,0.39,0.5
Manuel Akanji,SUI,DF,Dortmund,Bundesliga,25,1995,28,26,2350,26.1,2,0,2,0,0,4,0,0.08,0,0.08,0.08,0.08,1.8,1.8,0.1,1.9,0.07,0,0.07,0.07,0.07
Carlos Akapo,EQG,DF,Cádiz,La Liga,27,1993,13,10,865,9.6,1,0,1,0,0,3,1,0.1,0,0.1,0.1,0.1,0.4,0.4,0.3,0.6,0.04,0.03,0.07,0.04,0.07
Marley Aké,FRA,FW,Marseille,Ligue 1,19,2001,9,0,146,1.6,0,0,0,0,0,0,0,0,0,0,0,0,1.1,1.1,0,1.1,0.67,0,0.67,0.67,0.67
Nathan Aké,NED,DF,Manchester City,English Premier League,25,1995,10,9,797,8.9,1,0,1,0,0,4,0,0.11,0,0.11,0.11,0.11,0.1,0.1,0,0.1,0.01,0,0.02,0.01,0.02
Paul Akouokou,CIV,MF,Betis,La Liga,22,1997,10,4,378,4.2,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0.4,0.4,0,0.08,0.08,0,0.08
Jean-Daniel Akpa-Akpro,CIV,MF,Lazio,Serie A,27,1992,32,6,1056,11.7,0,1,0,0,0,9,0,0,0.09,0.09,0,0.09,0.9,0.9,0.9,1.8,0.08,0.08,0.16,0.08,0.16
Kevin Akpoguma,NGA,DF,Hoffenheim,Bundesliga,25,1995,16,14,1184,13.2,1,0,1,0,0,1,0,0.08,0,0.08,0.08,0.08,0.1,0.1,0.4,0.4,0,0.03,0.03,0,0.03
David Alaba,AUT,"DF,MF",Bayern Munich,Bundesliga,28,1992,32,30,2675,29.7,2,4,2,0,0,4,0,0.07,0.13,0.2,0.07,0.2,1.3,1.3,2.3,3.6,0.04,0.08,0.12,0.04,0.12
Sofiane Alakouch,MAR,DF,Nîmes,Ligue 1,22,1998,22,17,1505,16.7,0,2,0,0,0,4,0,0,0.12,0.12,0,0.12,0.2,0.2,1.2,1.3,0.01,0.07,0.08,0.01,0.08
Jony Álamo,ESP,MF,Elche,La Liga,18,2001,1,1,73,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0.02,0.02,0.02
Lucas Alario,ARG,FW,Leverkusen,Bundesliga,27,1992,25,12,1245,13.8,11,2,9,2,2,2,0,0.8,0.14,0.94,0.65,0.8,6.5,5,0.7,5.7,0.47,0.05,0.52,0.36,0.41
Jordi Alba,ESP,DF,Barcelona,La Liga,31,1989,35,34,3025,33.6,3,5,3,0,0,9,0,0.09,0.15,0.24,0.09,0.24,2.4,2.4,7.4,9.8,0.07,0.22,0.29,0.07,0.29
Luis Alberto,ESP,MF,Lazio,Serie A,27,1992,34,33,2618,29.1,9,2,9,0,0,5,0,0.31,0.07,0.38,0.31,0.38,5.5,5.3,8.2,13.5,0.19,0.28,0.47,0.18,0.46
Raúl Albiol,ESP,DF,Villarreal,La Liga,34,1985,35,35,3115,34.6,0,0,0,0,0,7,0,0,0,0,0,0,0.6,0.6,1,1.6,0.02,0.03,0.05,0.02,0.05
Marc Albrighton,ENG,"DF,FW",Leicester City,English Premier League,30,1989,31,17,1746,19.4,1,5,1,0,0,2,0,0.05,0.26,0.31,0.05,0.31,1.3,1.3,4.4,5.7,0.07,0.23,0.29,0.07,0.29
Paco Alcácer,ESP,FW,Villarreal,La Liga,26,1993,27,19,1544,17.2,6,4,5,1,2,0,0,0.35,0.23,0.58,0.29,0.52,8.3,6.7,3.2,9.9,0.48,0.19,0.67,0.39,0.58
Pedro Alcalá,ESP,DF,Cádiz,La Liga,31,1989,13,8,909,10.1,0,0,0,0,0,2,0,0,0,0,0,0,0.1,0.1,0,0.1,0.01,0,0.01,0.01,0.01
Thiago Alcántara,ESP,MF,Liverpool,English Premier League,29,1991,24,20,1854,20.6,1,0,1,0,0,4,0,0.05,0,0.05,0.05,0.05,1.4,1.4,2.3,3.7,0.07,0.11,0.18,0.07,0.18
Rubén Alcaraz,ESP,MF,Valladolid,La Liga,29,1991,30,25,2165,24.1,1,0,1,0,0,10,0,0.04,0,0.04,0.04,0.04,1.7,1.7,0.6,2.3,0.07,0.03,0.09,0.07,0.09
Omar Alderete,PAR,DF,Hertha BSC,Bundesliga,23,1996,17,14,1299,14.4,0,0,0,0,0,2,0,0,0,0,0,0,0.5,0.5,0.1,0.6,0.03,0.01,0.04,0.03,0.04
Toby Alderweireld,BEL,DF,Tottenham,English Premier League,31,1989,25,25,2240,24.9,1,0,1,0,0,2,0,0.04,0,0.04,0.04,0.04,0.8,0.8,0.3,1.2,0.03,0.01,0.05,0.03,0.05
Iván Alejo,ESP,"MF,FW",Cádiz,La Liga,25,1995,22,6,827,9.2,1,1,1,0,0,5,0,0.11,0.11,0.22,0.11,0.22,1,1,0.8,1.7,0.11,0.08,0.19,0.11,0.19
Carles Aleñá,ESP,MF,Barcelona,La Liga,22,1998,2,0,48,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.04,0,0.04,0.04,0.04
Carles Aleñá,ESP,"MF,FW",Getafe,La Liga,22,1998,22,15,1366,15.2,2,2,2,0,0,1,0,0.13,0.13,0.26,0.13,0.26,1.9,1.9,2,3.9,0.12,0.13,0.26,0.12,0.26
Rúnar Alex Rúnarsson,ISL,GK,Arsenal,English Premier League,25,1995,1,0,16,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trent Alexander-Arnold,ENG,DF,Liverpool,English Premier League,21,1998,36,34,3031,33.7,2,7,2,0,0,2,0,0.06,0.21,0.27,0.06,0.27,2.8,2.8,8.1,10.8,0.08,0.24,0.32,0.08,0.32
Alfon,ESP,MF,Celta Vigo,La Liga,21,1999,2,0,34,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.13,0.22,0.35,0.13,0.35
Mohamed Ali Cho,FRA,"FW,MF",Angers,Ligue 1,16,2004,21,1,348,3.9,0,0,0,0,0,1,0,0,0,0,0,0,1.4,1.4,0.1,1.5,0.36,0.03,0.39,0.36,0.39
Ezgjan Alioski,MKD,DF,Leeds United,English Premier League,28,1992,36,29,2461,27.3,2,3,2,0,0,7,0,0.07,0.11,0.18,0.07,0.18,1.5,1.5,3.1,4.6,0.05,0.11,0.17,0.05,0.17
Rachid Alioui,MAR,FW,Angers,Ligue 1,28,1992,1,0,15,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alisson,BRA,GK,Liverpool,English Premier League,27,1992,33,33,2970,33,1,0,1,0,0,1,0,0.03,0,0.03,0.03,0.03,0.1,0.1,0,0.1,0,0,0,0,0
Saturnin Allagbé,BEN,GK,Dijon,Ligue 1,26,1993,12,12,1080,12,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allan,BRA,MF,Everton,English Premier League,29,1991,24,23,2051,22.8,0,0,0,0,0,6,0,0,0,0,0,0,0.2,0.2,0.9,1.1,0.01,0.04,0.05,0.01,0.05
Dele Alli,ENG,MF,Tottenham,English Premier League,24,1996,15,7,620,6.9,0,1,0,0,0,0,0,0,0.15,0.15,0,0.15,1.3,1.3,0.9,2.2,0.19,0.13,0.32,0.19,0.32
Miguel Almirón,PAR,"MF,FW",Newcastle Utd,English Premier League,26,1994,34,28,2429,27,4,1,4,0,0,3,0,0.15,0.04,0.19,0.15,0.19,3.2,3.2,2.8,5.9,0.12,0.1,0.22,0.12,0.22
Marcos Alonso,ESP,DF,Chelsea,English Premier League,29,1990,13,11,960,10.7,2,0,2,0,0,2,0,0.19,0,0.19,0.19,0.19,1.7,1.7,1.1,2.8,0.16,0.11,0.27,0.16,0.27
Sergio Álvarez,ESP,"MF,DF",Eibar,La Liga,28,1992,27,17,1568,17.4,0,0,0,0,0,3,0,0,0,0,0,0,0.3,0.3,0.9,1.2,0.02,0.05,0.07,0.02,0.07
Yeray Álvarez,ESP,DF,Athletic Club,La Liga,25,1995,23,22,1948,21.6,1,0,1,0,0,6,0,0.05,0,0.05,0.05,0.05,0.5,0.5,0.4,0.9,0.02,0.02,0.04,0.02,0.04
Bruno Alves,POR,DF,Parma,Serie A,38,1981,19,18,1632,18.1,1,0,1,0,0,3,0,0.06,0,0.06,0.06,0.06,0.3,0.3,0.1,0.4,0.02,0.01,0.02,0.02,0.02
Steven Alzate,COL,"MF,DF",Brighton,English Premier League,21,1998,15,10,896,10,1,0,1,0,0,2,0,0.1,0,0.1,0.1,0.1,0.7,0.7,0.5,1.1,0.07,0.05,0.11,0.07,0.11
Ibrahim Amadou,FRA,MF,Angers,Ligue 1,27,1993,24,20,1504,16.7,0,0,0,0,0,6,0,0,0,0,0,0,2.1,2.1,0.3,2.4,0.12,0.02,0.14,0.12,0.14
Romain Amalfitano,FRA,"FW,DF",Dijon,Ligue 1,30,1989,2,1,116,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.03,0.02,0.04,0.03,0.04
Emmanuel Amankwaa Akurugu,GHA,DF,Getafe,La Liga,18,2001,1,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daniel Amartey,GHA,DF,Leicester City,English Premier League,25,1994,12,8,722,8,1,0,1,0,0,3,0,0.12,0,0.12,0.12,0.12,0.4,0.4,0,0.4,0.05,0,0.05,0.05,0.05
Jordan Amavi,FRA,DF,Marseille,Ligue 1,26,1994,13,10,813,9,1,0,1,0,0,3,1,0.11,0,0.11,0.11,0.11,0.2,0.2,0.3,0.5,0.02,0.03,0.06,0.02,0.06
Thierry Ambrose,FRA,FW,Metz,Ligue 1,23,1997,23,5,753,8.4,0,1,0,0,0,4,0,0,0.12,0.12,0,0.12,1.4,1.4,1.5,2.9,0.17,0.18,0.35,0.17,0.35
Wisdom Amey,ITA,DF,Bologna,Serie A,14,2005,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nadiem Amiri,GER,MF,Leverkusen,Bundesliga,23,1996,29,20,1890,21,2,6,2,0,0,5,0,0.1,0.29,0.38,0.1,0.38,2.1,2.1,2.9,5.1,0.1,0.14,0.24,0.1,0.24
Ethan Ampadu,WAL,"DF,MF",Sheffield Utd,English Premier League,19,2000,25,23,2089,23.2,0,0,0,0,0,3,0,0,0,0,0,0,0.3,0.3,0.9,1.3,0.01,0.04,0.06,0.01,0.06
Sofyan Amrabat,MAR,MF,Fiorentina,Serie A,23,1996,31,28,2441,27.1,0,0,0,0,0,7,0,0,0,0,0,0,0.4,0.4,0.5,0.9,0.02,0.02,0.03,0.02,0.03
Jon Ander Garrido,ESP,MF,Cádiz,La Liga,30,1989,23,7,800,8.9,0,0,0,0,0,1,0,0,0,0,0,0,0.4,0.4,0.1,0.4,0.04,0.01,0.05,0.04,0.05
Joachim Andersen,DEN,DF,Lyon,Ligue 1,24,1996,3,2,192,2.1,0,0,0,0,0,1,0,0,0,0,0,0,0.3,0.3,0,0.3,0.14,0,0.14,0.14,0.14
Joachim Andersen,DEN,DF,Fulham,English Premier League,24,1996,31,30,2730,30.3,1,1,1,0,0,7,1,0.03,0.03,0.07,0.03,0.07,1.1,1.1,0.5,1.6,0.04,0.02,0.05,0.04,0.05
Djavan Anderson,NED,DF,Lazio,Serie A,25,1995,3,1,72,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elliot Anderson,SCO,MF,Newcastle Utd,English Premier League,17,2002,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Felipe Anderson,BRA,"FW,MF",West Ham,English Premier League,27,1993,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sebastian Andersson,SWE,FW,Köln,Bundesliga,29,1991,16,14,1126,12.5,3,0,2,1,1,1,0,0.24,0,0.24,0.16,0.16,5.5,4.7,0.3,5.1,0.44,0.03,0.47,0.38,0.41
Nícolas Andrade,BRA,GK,Udinese,Serie A,32,1988,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benjamin André,FRA,MF,Lille,Ligue 1,29,1990,35,35,2885,32.1,0,1,0,0,0,10,0,0,0.03,0.03,0,0.03,1.1,1.1,1.3,2.4,0.03,0.04,0.08,0.03,0.08
Robert Andrich,GER,MF,Union Berlin,Bundesliga,25,1994,29,29,2526,28.1,5,2,5,0,0,5,1,0.18,0.07,0.25,0.18,0.25,2.5,2.5,2.2,4.7,0.09,0.08,0.17,0.09,0.17
Victorien Angban,CIV,MF,Metz,Ligue 1,23,1996,26,21,1672,18.6,0,1,0,0,0,5,0,0,0.05,0.05,0,0.05,0.3,0.3,0.5,0.8,0.02,0.03,0.04,0.02,0.04
Ángel,ESP,GK,Granada,La Liga,18,2002,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Miguel Ángel Rubio,ESP,DF,Valladolid,La Liga,22,1998,2,1,135,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0.02,0.02,0.02
José Ángel,ESP,DF,Eibar,La Liga,30,1989,14,11,901,10,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0.8,0.8,0,0.08,0.08,0,0.08
Angeliño,ESP,"DF,FW",RB Leipzig,Bundesliga,23,1997,26,24,2161,24,4,4,4,0,0,2,0,0.17,0.17,0.33,0.17,0.33,3.8,3.8,5,8.8,0.16,0.21,0.37,0.16,0.37
Davide Angelo Ghislandi,ITA,DF,Atalanta,Serie A,19,2001,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Philip Ankhrah,GHA,MF,Hellas Verona,Serie A,17,2002,1,0,13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cristian Ansaldi,ARG,DF,Torino,Serie A,33,1986,31,20,1947,21.6,1,6,0,1,1,1,0,0.05,0.28,0.32,0,0.28,1.7,0.9,5,5.9,0.08,0.23,0.31,0.04,0.27
Waldemar Anton,GER,DF,Stuttgart,Bundesliga,24,1996,31,30,2711,30.1,0,1,0,0,0,3,0,0,0.03,0.03,0,0.03,1.2,1.2,0.4,1.6,0.04,0.01,0.05,0.04,0.05
José Antonio Miranda,EQG,"MF,DF",Getafe,La Liga,22,1998,4,0,26,0.3,0,0,0,0,0,1,0,0,0,0,0,0,0.2,0.2,0,0.2,0.69,0,0.69,0.69,0.69
Michail Antonio,JAM,FW,West Ham,English Premier League,30,1990,26,24,1974,21.9,10,5,10,0,0,3,0,0.46,0.23,0.68,0.46,0.68,11.4,11.4,2.3,13.7,0.52,0.11,0.62,0.52,0.62
Valentin Antov,BUL,DF,Bologna,Serie A,19,2000,5,2,232,2.6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01
Houssem Aouar,FRA,"MF,FW",Lyon,Ligue 1,22,1998,30,23,1781,19.8,7,3,5,2,2,3,1,0.35,0.15,0.51,0.25,0.4,10.3,8.8,4,12.8,0.52,0.2,0.72,0.44,0.65
Adil Aouchiche,FRA,"MF,FW",Saint-Étienne,Ligue 1,18,2002,34,21,1731,19.2,2,5,2,0,0,2,0,0.1,0.26,0.36,0.1,0.36,3.3,3.3,5.1,8.4,0.17,0.27,0.44,0.17,0.44
Dennis Appiah,FRA,DF,Nantes,Ligue 1,28,1992,22,16,1556,17.3,0,2,0,0,0,3,0,0,0.12,0.12,0,0.12,0.2,0.2,1,1.2,0.01,0.06,0.07,0.01,0.07
Aritz Arambarri,ESP,DF,Real Sociedad,La Liga,22,1998,1,0,26,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.5,0,0.5,0.5,0.5
Mauro Arambarri,URU,MF,Getafe,La Liga,24,1995,34,33,2983,33.1,3,0,3,0,0,11,0,0.09,0,0.09,0.09,0.09,2.2,2.2,2.1,4.3,0.07,0.06,0.13,0.07,0.13
Charles Aránguiz,CHI,MF,Leverkusen,Bundesliga,31,1989,21,20,1669,18.5,0,0,0,0,0,4,0,0,0,0,0,0,0.7,0.7,0.8,1.4,0.04,0.04,0.08,0.04,0.08
Luiz Araújo,BRA,MF,Lille,Ligue 1,24,1996,28,17,1496,16.6,4,2,4,0,0,5,0,0.24,0.12,0.36,0.24,0.36,3.7,3.7,2.6,6.3,0.22,0.16,0.38,0.22,0.38
Néstor Araujo,MEX,DF,Celta Vigo,La Liga,28,1991,33,26,2426,27,0,0,0,0,0,5,0,0,0,0,0,0,0.3,0.3,0.7,1,0.01,0.02,0.04,0.01,0.04
Ronald Araújo,URU,DF,Barcelona,La Liga,21,1999,24,16,1510,16.8,2,1,2,0,0,3,0,0.12,0.06,0.18,0.12,0.18,1.6,1.6,0.1,1.7,0.09,0.01,0.1,0.09,0.1
Anaitz Arbilla,ESP,DF,Eibar,La Liga,33,1987,34,30,2807,31.2,0,1,0,0,0,8,0,0,0.03,0.03,0,0.03,1.2,1.2,0.9,2.1,0.04,0.03,0.07,0.04,0.07
Alphonse Areola,FRA,GK,Fulham,English Premier League,27,1993,36,36,3240,36,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Santiago Arias,COL,DF,Leverkusen,Bundesliga,28,1992,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Karim Aribi,ALG,FW,Nîmes,Ligue 1,26,1994,13,2,294,3.3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.2,1.2,0.31,0.07,0.38,0.31,0.38
Unai Arietaleanizbeaskoa,ESP,"FW,MF",Eibar,La Liga,21,1999,4,0,47,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.04,0,0.04,0.04,0.04
Nicolò Armini,ITA,DF,Lazio,Serie A,19,2001,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stuart Armstrong,SCO,MF,Southampton,English Premier League,28,1992,33,32,2764,30.7,4,5,4,0,0,3,0,0.13,0.16,0.29,0.13,0.29,3,3,2.7,5.7,0.1,0.09,0.18,0.1,0.18
