player,nation,squad,comp,age,born,per_90,gls,sh,so_t,so_t_percent,sh_per_90,so_t_per_90,g_per_sh,g_per_so_t,dist,fk,pk,p_katt,x_g,npx_g,npxg_per_sh,g_minus_xg,npg_minus_xg
Finn Dahmen,GER,Mainz 05,Bundesliga,22,1998,3,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0
Mahmoud Dahoud,GER,Dortmund,Bundesliga,24,1996,14,1,16,5,31.3,1.14,0.36,0.06,0.2,25.9,1,0,0,0.5,0.5,0.03,0.5,0.5
Leon Dajaku,GER,Union Berlin,Bundesliga,19,2001,0.4,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0
Stuart Dallas,NIR,Leeds United,English Premier League,29,1991,37.9,8,48,18,37.5,1.27,0.48,0.17,0.44,19.7,0,0,0,4.6,4.6,0.1,3.4,3.4
Diogo Dalot,POR,Milan,Serie A,21,1999,12.1,1,10,5,50,0.83,0.41,0.1,0.2,20.4,0,0,0,0.7,0.7,0.07,0.3,0.3
Mikkel Damsgaard,DEN,Sampdoria,Serie A,20,2000,19.7,2,24,8,33.3,1.22,0.41,0.08,0.25,18.9,3,0,0,2.4,2.4,0.1,-0.4,-0.4
Flavius Daniliuc,AUT,Nice,Ligue 1,19,2001,16.4,1,8,1,12.5,0.49,0.06,0.13,1,17.7,0,0,0,0.8,0.8,0.1,0.2,0.2
Danilo,BRA,Juventus,Serie A,29,1991,32.4,1,18,2,11.1,0.56,0.06,0.06,0.5,21.3,0,0,0,1.2,1.2,0.07,-0.2,-0.2
Scott Dann,ENG,Crystal Palace,English Premier League,33,1987,15,1,5,2,40,0.33,0.13,0.2,0.5,9.2,0,0,0,0.3,0.3,0.07,0.7,0.7
Tiago Dantas,POR,Bayern Munich,Bundesliga,19,2000,0.8,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0
Dante,BRA,Nice,Ligue 1,36,1983,8.6,2,6,2,33.3,0.7,0.23,0.33,1,12.1,1,0,0,0.6,0.6,0.09,1.4,1.4
Andrea Danzi,ITA,Hellas Verona,Serie A,21,1999,1.2,0,1,0,0,0.87,0,0,NA,23,0,0,0,0,0,0.03,0,0
Ebrima Darboe,GAM,Roma,Serie A,19,2001,3.6,0,3,0,0,0.84,0,0,NA,24.6,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Márton Dárdai,GER,Hertha BSC,Bundesliga,18,2002,9.1,0,2,0,0,0.22,0,0,NA,18,0,0,0,0.1,0.1,0.04,-0.1,-0.1
Vladimír Darida,CZE,Hertha BSC,Bundesliga,29,1990,21.1,1,27,6,22.2,1.28,0.28,0.04,0.17,22.6,1,0,0,1.4,1.4,0.05,-0.4,-0.4
Karl Darlow,ENG,Newcastle Utd,English Premier League,29,1990,25,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0
Matteo Darmian,ITA,Inter,Serie A,30,1989,12.9,3,9,5,55.6,0.7,0.39,0.33,0.6,13.8,0,0,0,1.2,1.2,0.14,1.8,1.8
Matteo Darmian,ITA,Parma,Serie A,30,1989,2.3,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0
Jonathan David,CAN,Lille,Ligue 1,20,2000,26.2,13,55,33,60,2.1,1.26,0.24,0.39,15,0,0,0,9.8,9.8,0.18,3.2,3.2
Alphonso Davies,CAN,Bayern Munich,Bundesliga,19,2000,19.6,1,4,3,75,0.2,0.15,0.25,0.33,22.1,0,0,0,0.2,0.2,0.04,0.8,0.8
Ben Davies,WAL,Tottenham,English Premier League,27,1993,15,0,3,0,0,0.2,0,0,NA,13,0,0,0,0.2,0.2,0.07,-0.2,-0.2
Tom Davies,ENG,Everton,English Premier League,22,1998,15.8,0,7,0,0,0.44,0,0,NA,24.6,0,0,0,0.2,0.2,0.02,-0.2,-0.2
Keinan Davis,ENG,Aston Villa,English Premier League,22,1998,3.1,1,9,2,22.2,2.92,0.65,0.11,0.5,9.6,0,0,0,1,1,0.12,0,0
Leif Davis,ENG,Leeds United,English Premier League,20,2000,0.4,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0
Paweł Dawidowicz,POL,Hellas Verona,Serie A,25,1995,20.7,0,16,4,25,0.77,0.19,0,0,10.6,0,0,0,1.3,1.3,0.09,-1.3,-1.3
Craig Dawson,ENG,West Ham,English Premier League,30,1990,21.4,3,16,5,31.3,0.75,0.23,0.19,0.6,8.3,0,0,0,1.7,1.7,0.11,1.3,1.3
Kevin De Bruyne,BEL,Manchester City,English Premier League,29,1991,22.2,6,79,25,31.6,3.56,1.13,0.05,0.16,20.2,10,2,3,9.7,7.4,0.09,-3.7,-3.4
Sebastien De Maio,FRA,Udinese,Serie A,33,1987,9.5,0,5,1,20,0.53,0.11,0,0,12.3,0,0,0,0.3,0.3,0.06,-0.3,-0.3
Rodrigo De Paul,ARG,Udinese,Serie A,26,1994,35.6,9,80,19,23.8,2.25,0.53,0.08,0.32,24,10,3,3,6.6,4.3,0.06,2.4,1.7
Mattia De Sciglio,ITA,Lyon,Ligue 1,27,1992,16.3,0,4,2,50,0.25,0.12,0,0,24.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Mattia De Sciglio,ITA,Juventus,Serie A,27,1992,0.3,0,1,0,0,3.75,0,0,NA,20.1,0,0,0,0,0,0.03,0,0
Lorenzo De Silvestri,ITA,Bologna,Serie A,32,1988,23.8,2,12,7,58.3,0.5,0.29,0.17,0.29,10.5,0,0,0,2.3,2.3,0.19,-0.3,-0.3
Thibault De Smet,BEL,Reims,Ligue 1,22,1998,5.5,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0
Lucas Deaux,FRA,Nîmes,Ligue 1,31,1988,19.5,1,14,6,42.9,0.72,0.31,0.07,0.17,17.8,0,0,0,0.9,0.9,0.07,0.1,0.1
Mathieu Debuchy,FRA,Saint-Étienne,Ligue 1,35,1985,23.4,2,26,7,26.9,1.11,0.3,0.08,0.29,12.7,0,0,0,2.6,2.6,0.1,-0.6,-0.6
Grégoire Defrel,MTQ,Sassuolo,Serie A,29,1991,14.8,3,22,9,40.9,1.48,0.61,0.14,0.33,16.3,0,0,0,2.8,2.8,0.13,0.2,0.2
Alessandro Deiola,ITA,Spezia,Serie A,24,1995,4,0,5,1,20,1.25,0.25,0,0,23.6,1,0,0,0.2,0.2,0.04,-0.2,-0.2
Alessandro Deiola,ITA,Cagliari,Serie A,24,1995,6.8,0,6,1,16.7,0.88,0.15,0,0,22.2,0,0,0,0.2,0.2,0.03,-0.2,-0.2
Romain Del Castillo,FRA,Rennes,Ligue 1,24,1996,7.2,0,17,5,29.4,2.35,0.69,0,0,20.4,1,0,0,1.2,1.2,0.07,-1.2,-1.2
Lorenzo Del Pinto,ITA,Benevento,Serie A,30,1990,0.1,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0
Thomas Delaine,FRA,Metz,Ligue 1,28,1992,19.8,3,17,10,58.8,0.86,0.51,0.18,0.3,20.6,0,0,0,1.1,1.1,0.07,1.9,1.9
Thomas Delaney,DEN,Dortmund,Bundesliga,28,1991,14.3,1,8,3,37.5,0.56,0.21,0.13,0.33,13.1,0,0,0,0.4,0.4,0.05,0.6,0.6
Liam Delap,ENG,Manchester City,English Premier League,17,2003,0.4,0,1,0,0,2.25,0,0,NA,12,0,0,0,0,0,0.03,0,0
Jonathan Delaplace,FRA,Lorient,Ligue 1,34,1986,10.1,0,5,0,0,0.5,0,0,NA,23,0,0,0,0.2,0.2,0.03,-0.2,-0.2
Sacha Delaye,FRA,Montpellier,Ligue 1,18,2002,0.1,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0
Cristian Dell'Orco,ITA,Spezia,Serie A,26,1994,2.9,0,1,0,0,0.34,0,0,NA,6.7,0,0,0,0.1,0.1,0.08,-0.1,-0.1
Andy Delort,ALG,Montpellier,Ligue 1,28,1991,27.6,15,91,34,37.4,3.3,1.23,0.16,0.44,16,2,0,1,10.8,10,0.11,4.2,5
Fabian Delph,ENG,Everton,English Premier League,30,1989,3,0,1,0,0,0.34,0,0,NA,30.4,0,0,0,0,0,0.03,0,0
Moussa Dembélé,FRA,Lyon,Ligue 1,24,1996,7.5,1,27,8,29.6,3.59,1.06,0.04,0.13,13.6,1,0,0,3.8,3.8,0.14,-2.8,-2.8
Moussa Dembélé,FRA,Atlético Madrid,La Liga,24,1996,1.1,0,6,2,33.3,5.4,1.8,0,0,10.8,0,0,0,1,1,0.17,-1,-1
Ousmane Dembélé,FRA,Barcelona,La Liga,23,1997,19.7,6,55,20,36.4,2.79,1.01,0.11,0.3,17.2,0,0,0,5.6,5.6,0.1,0.4,0.4
Merih Demiral,TUR,Juventus,Serie A,22,1998,10.4,0,7,2,28.6,0.67,0.19,0,0,10.3,0,0,0,0.7,0.7,0.1,-0.7,-0.7
Kerem Demirbay,GER,Leverkusen,Bundesliga,27,1993,19.4,4,44,13,29.5,2.27,0.67,0.09,0.31,23.3,5,0,0,2.4,2.4,0.05,1.6,1.6
Ermedin Demirović,BIH,Freiburg,Bundesliga,22,1998,16.6,5,40,19,47.5,2.4,1.14,0.13,0.26,13.7,0,0,0,4.7,4.7,0.12,0.3,0.3
Diego Demme,GER,Napoli,Serie A,28,1991,17.7,2,14,5,35.7,0.79,0.28,0.14,0.4,15.5,0,0,0,1.4,1.4,0.1,0.6,0.6
Jason Denayer,BEL,Lyon,Ligue 1,25,1995,29,1,5,1,20,0.17,0.03,0.2,1,16.8,0,0,0,0.5,0.5,0.1,0.5,0.5
Leander Dendoncker,BEL,Wolves,English Premier League,25,1995,27.8,1,32,8,25,1.15,0.29,0.03,0.13,13.5,0,0,0,3.3,3.3,0.1,-2.3,-2.3
Kevin Denkey,TOG,Nîmes,Ligue 1,19,2000,5.8,1,17,8,47.1,2.92,1.37,0.06,0.13,15.3,0,0,0,1.8,1.8,0.1,-0.8,-0.8
Emmanuel Dennis,NGA,Köln,Bundesliga,22,1997,5.3,0,5,0,0,0.95,0,0,NA,12.7,0,0,0,0.6,0.6,0.11,-0.6,-0.6
Stefano Denswil,NED,Bologna,Serie A,27,1993,1.3,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0
Fabio Depaoli,ITA,Benevento,Serie A,23,1997,12.4,0,7,1,14.3,0.56,0.08,0,0,21.9,0,0,0,0.2,0.2,0.03,-0.2,-0.2
Fabio Depaoli,ITA,Sampdoria,Serie A,23,1997,0.9,0,2,1,50,2.34,1.17,0,0,17.3,0,0,0,0.2,0.2,0.08,-0.2,-0.2
Fabio Depaoli,ITA,Atalanta,Serie A,23,1997,2.1,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0
Memphis Depay,NED,Lyon,Ligue 1,26,1994,32.5,20,102,45,44.1,3.14,1.39,0.12,0.27,21.1,14,8,8,17.7,11.7,0.11,2.3,0.3
Clément Depres,FRA,Nîmes,Ligue 1,25,1994,0.2,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0
Mike van der Hoorn,NED,Arminia,Bundesliga,27,1992,15.1,0,4,2,50,0.27,0.13,0,0,10,0,0,0,0.3,0.3,0.08,-0.3,-0.3
Kastriot Dermaku,ALB,Parma,Serie A,28,1992,1.1,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0
Kiril Despodov,BUL,Cagliari,Serie A,23,1996,0.1,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0
Sergiño Dest,USA,Barcelona,La Liga,19,2000,21.2,2,14,5,35.7,0.66,0.24,0.14,0.4,15.6,0,0,0,2.5,2.5,0.18,-0.5,-0.5
Mattia Destro,ITA,Genoa,Serie A,29,1991,17.8,11,38,23,60.5,2.13,1.29,0.29,0.48,12,0,0,0,6.8,6.8,0.18,4.2,4.2
Gerard Deulofeu,ESP,Udinese,Serie A,26,1994,6.6,1,16,9,56.3,2.41,1.35,0.06,0.11,17.1,1,0,0,1.3,1.3,0.08,-0.3,-0.3
Deyverson,BRA,Alavés,La Liga,29,1991,9.7,1,14,2,14.3,1.44,0.21,0.07,0.5,16.6,0,0,0,1.8,1.8,0.13,-0.8,-0.8
Jacopo Dezi,ITA,Parma,Serie A,28,1992,0.9,0,1,0,0,1.14,0,0,NA,20,0,0,0,0,0,0.05,0,0
Samuel Di Carmine,ITA,Hellas Verona,Serie A,31,1988,5.6,0,9,2,22.2,1.62,0.36,0,0,9.7,0,0,0,1.6,1.6,0.17,-1.6,-1.6
Samuel Di Carmine,ITA,Crotone,Serie A,31,1988,5.3,0,6,1,16.7,1.14,0.19,0,0,11,0,0,0,0.4,0.4,0.07,-0.4,-0.4
Giovanni Di Lorenzo,ITA,Napoli,Serie A,26,1993,36,3,31,12,38.7,0.86,0.33,0.1,0.25,11.9,0,0,0,3.8,3.8,0.12,-0.8,-0.8
Ángel Di María,ARG,Paris S-G,Ligue 1,32,1988,20.6,5,60,18,30,2.91,0.87,0.08,0.28,20.8,6,0,0,5.1,5.1,0.09,-0.1,-0.1
Alessandro Di Pardo,ITA,Juventus,Serie A,21,1999,0.2,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0
Giuseppe Di Serio,ITA,Benevento,Serie A,19,2001,3.2,0,5,2,40,1.54,0.62,0,0,15.5,0,0,0,0.6,0.6,0.13,-0.6,-0.6
Boulaye Dia,SEN,Reims,Ligue 1,23,1996,32.6,14,58,22,37.9,1.78,0.68,0.16,0.41,15.9,0,5,5,13.2,9.4,0.16,0.8,-0.4
Abdoulay Diaby,MLI,Getafe,La Liga,29,1991,0.2,0,1,0,0,5,0,0,NA,14,0,0,0,0.3,0.3,0.34,-0.3,-0.3
Moussa Diaby,FRA,Leverkusen,Bundesliga,21,1999,26.5,4,51,25,49,1.92,0.94,0.08,0.16,18.5,0,0,0,5.6,5.6,0.11,-1.6,-1.6
Mbaye Diagne,SEN,West Brom,English Premier League,28,1991,13.2,3,25,9,36,1.89,0.68,0.12,0.33,10,0,0,0,5,5,0.2,-2,-2
Mouctar Diakhaby,FRA,Valencia,La Liga,23,1996,23.1,1,11,4,36.4,0.48,0.17,0.09,0.25,10,0,0,0,1.1,1.1,0.1,-0.1,-0.1
Abdou Diallo,SEN,Paris S-G,Ligue 1,24,1996,16.6,0,4,0,0,0.24,0,0,NA,11,0,0,0,0.3,0.3,0.07,-0.3,-0.3
Amad Diallo,CIV,Manchester Utd,English Premier League,18,2002,1.8,0,1,1,100,0.54,0.54,0,0,22.6,0,0,0,0,0,0.04,0,0
Amad Diallo,CIV,Atalanta,Serie A,18,2002,0.2,0,1,0,0,6.43,0,0,NA,21.5,0,0,0,0,0,0.03,0,0
Habib Diallo,SEN,Strasbourg,Ligue 1,25,1995,25.8,9,53,19,35.8,2.05,0.74,0.15,0.42,16.4,0,1,1,7.2,6.4,0.12,1.8,1.6
Habib Diallo,SEN,Metz,Ligue 1,25,1995,1.6,0,2,0,0,1.26,0,0,NA,9.6,0,0,0,0.4,0.4,0.19,-0.4,-0.4
Ibrahima Diallo,FRA,Southampton,English Premier League,21,1999,11.3,0,8,2,25,0.71,0.18,0,0,20.6,0,0,0,0.6,0.6,0.08,-0.6,-0.6
Ibrahima Diallo,FRA,Brest,Ligue 1,21,1999,4.9,0,1,0,0,0.2,0,0,NA,31,0,0,0,0,0,0.02,0,0
Amadou Diambo,GHA,Benevento,Serie A,19,2001,0,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0
Grady Diangana,ENG,West Brom,English Premier League,22,1998,13.7,1,14,5,35.7,1.02,0.36,0.07,0.2,16.6,0,0,0,1.2,1.2,0.09,-0.2,-0.2
Stéphane Diarra,FRA,Lorient,Ligue 1,21,1998,2.2,0,2,2,100,0.91,0.91,0,0,21.9,0,0,0,0.1,0.1,0.05,-0.1,-0.1
Raphael Dias Belloli,BRA,Leeds United,English Premier League,23,1996,26.2,6,68,27,39.7,2.59,1.03,0.09,0.22,16.3,4,0,0,6,6,0.09,0,0
Raphael Dias Belloli,BRA,Rennes,Ligue 1,23,1996,4.5,1,11,3,27.3,2.45,0.67,0.09,0.33,18,3,0,0,1.2,1.2,0.11,-0.2,-0.2
Rúben Dias,POR,Manchester City,English Premier League,23,1997,31.6,1,14,7,50,0.44,0.22,0.07,0.14,7.5,0,0,0,2.4,2.4,0.17,-1.4,-1.4
Krepin Diatta,SEN,Monaco,Ligue 1,21,1999,4.3,1,3,1,33.3,0.69,0.23,0.33,1,14.3,0,0,0,0.5,0.5,0.18,0.5,0.5
Amadou Diawara,GUI,Roma,Serie A,23,1997,7.3,1,7,4,57.1,0.96,0.55,0.14,0.25,20.3,0,0,0,1.1,1.1,0.16,-0.1,-0.1
Brahim Díaz,ESP,Milan,Serie A,20,1999,13.6,4,26,9,34.6,1.91,0.66,0.15,0.44,16.3,0,0,0,3.3,3.3,0.13,0.7,0.7
Víctor Díaz,ESP,Granada,La Liga,32,1988,9.2,0,5,1,20,0.54,0.11,0,0,26.7,0,0,0,0.3,0.3,0.05,-0.3,-0.3
Daniel Didavi,GER,Stuttgart,Bundesliga,30,1990,10.8,4,24,7,29.2,2.23,0.65,0.17,0.57,18.3,5,0,0,3.2,3.2,0.13,0.8,0.8
Bamba Dieng,SEN,Marseille,Ligue 1,20,2000,1.4,0,1,0,0,0.7,0,0,NA,4.1,0,0,0,0.2,0.2,0.16,-0.2,-0.2
Eric Dier,ENG,Tottenham,English Premier League,26,1994,28,0,14,2,14.3,0.5,0.07,0,0,21.5,8,0,0,0.9,0.9,0.06,-0.9,-0.9
Daan Dierckx,BEL,Parma,Serie A,17,2003,5.2,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0
Lucas Digne,FRA,Everton,English Premier League,27,1993,29.8,0,13,0,0,0.44,0,0,NA,23.2,3,0,0,0.6,0.6,0.04,-0.6,-0.6
Virgil van Dijk,NED,Liverpool,English Premier League,29,1991,4.1,1,4,2,50,0.97,0.49,0.25,0.5,13.5,0,0,0,0.3,0.3,0.08,0.7,0.7
Mitchell Dijks,NED,Bologna,Serie A,27,1993,16.5,0,2,0,0,0.12,0,0,NA,14.5,0,0,0,0,0,0.02,0,0
Javairô Dilrosun,NED,Hertha BSC,Bundesliga,22,1998,5.9,0,8,1,12.5,1.36,0.17,0,0,17.4,0,0,0,0.8,0.8,0.1,-0.8,-0.8
Federico Dimarco,ITA,Hellas Verona,Serie A,22,1997,29,5,38,14,36.8,1.31,0.48,0.13,0.36,20.5,6,0,0,2.3,2.3,0.06,2.7,2.7
Junior Dina Ebimbe,FRA,Dijon,Ligue 1,19,2000,23.8,1,46,13,28.3,1.93,0.55,0.02,0.08,17,0,0,0,3.8,3.8,0.08,-2.8,-2.8
Tristan Dingomé,CMR,Reims,Ligue 1,29,1991,0.2,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0
Eren Dinkçi,GER,Werder Bremen,Bundesliga,18,2001,1.2,1,3,2,66.7,2.5,1.67,0.33,0.5,11.3,0,0,0,0.4,0.4,0.15,0.6,0.6
Sinaly Diomande,CIV,Lyon,Ligue 1,19,2001,12.6,0,16,3,18.8,1.27,0.24,0,0,14.5,0,0,0,1,1,0.06,-1,-1
Lois Diony,FRA,Angers,Ligue 1,27,1992,19.4,5,28,14,50,1.44,0.72,0.14,0.29,15.9,0,1,1,4.3,3.6,0.13,0.7,0.4
Issa Diop,FRA,West Ham,English Premier League,23,1997,15.3,2,3,2,66.7,0.2,0.13,0.67,1,8.2,0,0,0,0.3,0.3,0.11,1.7,1.7
Papakouli Diop,SEN,Eibar,La Liga,34,1986,25.8,1,28,9,32.1,1.08,0.35,0.04,0.11,17.8,0,0,0,1.9,1.9,0.07,-0.9,-0.9
Sofiane Diop,FRA,Monaco,Ligue 1,20,2000,22.5,7,43,17,39.5,1.91,0.76,0.16,0.41,19.3,1,0,0,4.4,4.4,0.1,2.6,2.6
Andy Diouf,FRA,Rennes,Ligue 1,18,2002,0.1,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0
Yehvann Diouf,FRA,Reims,Ligue 1,20,1999,1.5,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0
Assane Dioussé,SEN,Saint-Étienne,Ligue 1,22,1997,0,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0
Axel Disasi,FRA,Monaco,Ligue 1,22,1998,22.3,3,19,6,31.6,0.85,0.27,0.16,0.5,10.1,0,0,0,2.3,2.3,0.12,0.7,0.7
Tiago Djaló,POR,Lille,Ligue 1,20,2000,9.7,0,2,0,0,0.21,0,0,NA,26.7,0,0,0,0,0,0.01,0,0
Djené,TOG,Getafe,La Liga,28,1991,32.7,0,2,0,0,0.06,0,0,NA,7.2,0,0,0,0.2,0.2,0.09,-0.2,-0.2
Moussa Djenepo,MLI,Southampton,English Premier League,22,1998,13.8,1,14,2,14.3,1.02,0.15,0.07,0.5,19.1,0,0,0,0.9,0.9,0.06,0.1,0.1
Koffi Djidji,CIV,Crotone,Serie A,27,1992,16.9,1,4,2,50,0.24,0.12,0.25,0.5,8.9,0,0,0,0.4,0.4,0.11,0.6,0.6
Alexander Djiku,GHA,Strasbourg,Ligue 1,25,1994,28.4,0,15,2,13.3,0.53,0.07,0,0,14.1,0,0,0,1.7,1.7,0.13,-1.7,-1.7
Berat Djimsiti,ALB,Atalanta,Serie A,27,1993,29.2,0,21,1,4.8,0.72,0.03,0,0,9.2,0,0,0,2.1,2.1,0.1,-2.1,-2.1
Marko Dmitrović,SRB,Eibar,La Liga,28,1992,34.7,1,1,0,0,0.03,0,0,NA,44,0,1,2,1.6,0.1,0.07,-0.6,-0.1
Ritsu Doan,JPN,Arminia,Bundesliga,22,1998,30.8,5,70,20,28.6,2.28,0.65,0.07,0.25,18.9,7,0,0,5.2,5,0.07,-0.2,0
Mihai Dobre,ROU,Dijon,Ligue 1,21,1998,5.9,0,9,1,11.1,1.53,0.17,0,0,16.1,0,0,0,0.5,0.5,0.06,-0.5,-0.5
Matt Doherty,IRL,Tottenham,English Premier League,28,1992,13.8,0,3,1,33.3,0.22,0.07,0,0,16,0,0,0,0.4,0.4,0.14,-0.4,-0.4
Jeremy Doku,BEL,Rennes,Ligue 1,18,2002,25.7,2,36,7,19.4,1.4,0.27,0.06,0.29,17.3,0,0,0,3.7,3.7,0.1,-1.7,-1.7
Kasper Dolberg,DEN,Nice,Ligue 1,22,1997,21.4,6,36,17,47.2,1.68,0.79,0.11,0.24,12.9,1,2,2,7.4,5.9,0.16,-1.4,-1.9
Keagan Dolly,RSA,Montpellier,Ligue 1,27,1993,5,0,6,0,0,1.19,0,0,NA,23.5,0,0,0,0.1,0.1,0.02,-0.1,-0.1
Jaume Doménech,ESP,Valencia,La Liga,29,1990,28,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0
Carlos Dominguez,ESP,Celta Vigo,La Liga,19,2001,4,0,1,1,100,0.25,0.25,0,0,6,0,0,0,0.1,0.1,0.11,-0.1,-0.1
Nicolás Domínguez,ARG,Bologna,Serie A,22,1998,13.9,1,18,5,27.8,1.29,0.36,0.06,0.2,18.2,0,0,0,1.5,1.5,0.08,-0.5,-0.5
John Donald,ESP,Elche,La Liga,19,2000,0.6,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0
Ji Dong-won,KOR,Mainz 05,Bundesliga,29,1991,0.7,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0
Anastasios Donis,GRE,Reims,Ligue 1,23,1996,1.1,0,1,0,0,0.93,0,0,NA,29.1,0,0,0,0,0,0.03,0,0
Gianluigi Donnarumma,ITA,Milan,Serie A,21,1999,37,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0
Gabriel Dos Santos,BRA,Arsenal,English Premier League,22,1997,22.2,2,16,4,25,0.72,0.18,0.13,0.5,11.3,0,0,0,1,1,0.06,1,1
Bas Dost,NED,Eint Frankfurt,Bundesliga,31,1989,9.1,4,14,7,50,1.54,0.77,0.21,0.43,9.5,0,1,1,4.3,3.5,0.25,-0.3,-0.5
Lucas Douath,FRA,Saint-Étienne,Ligue 1,16,2003,14.7,0,5,1,20,0.34,0.07,0,0,16,0,0,0,0.4,0.4,0.09,-0.4,-0.4
Abdoulaye Doucouré,FRA,Everton,English Premier League,27,1993,27.1,2,18,5,27.8,0.66,0.18,0.11,0.4,16.8,0,0,0,2.1,2.1,0.12,-0.1,-0.1
Cheick Doucouré,MLI,Lens,Ligue 1,20,2000,29.2,2,35,5,14.3,1.2,0.17,0.06,0.4,23.8,0,0,0,1.2,1.2,0.03,0.8,0.8
Fodé Doucouré,MLI,Reims,Ligue 1,19,2001,3.7,0,3,2,66.7,0.81,0.54,0,0,22.3,0,0,0,0.2,0.2,0.06,-0.2,-0.2
Mahamadou Doucouré,MLI,Nîmes,Ligue 1,20,2000,0.5,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0
Cheick Doukouré,CIV,Levante,La Liga,27,1992,1.1,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0
Idrissa Doumbia,CIV,Huesca,La Liga,22,1998,8.7,0,4,0,0,0.46,0,0,NA,21.1,0,0,0,0.4,0.4,0.1,-0.4,-0.4
Moussa Doumbia,MLI,Reims,Ligue 1,25,1994,10,0,17,3,17.6,1.7,0.3,0,0,20.9,0,0,0,0.6,0.6,0.04,-0.6,-0.6
Souleyman Doumbia,CIV,Angers,Ligue 1,23,1996,24.7,0,7,2,28.6,0.28,0.08,0,0,21.3,0,0,0,0.5,0.5,0.07,-0.5,-0.5
Aleksandar Dragović,AUT,Leverkusen,Bundesliga,29,1991,12.6,1,3,2,66.7,0.24,0.16,0.33,0.5,16.1,0,0,0,0.3,0.3,0.1,0.7,0.7
Bartłomiej Drągowski,POL,Fiorentina,Serie A,22,1997,35,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0
Denis Drăguș,ROU,Crotone,Serie A,21,1999,2,0,4,0,0,2.03,0,0,NA,25.5,0,0,0,0.1,0.1,0.02,-0.1,-0.1
Radu Drăgușin,ROU,Juventus,Serie A,18,2002,0,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0
Mouhamadou Drammeh,FRA,Reims,Ligue 1,21,1999,1.9,0,1,0,0,0.52,0,0,NA,29.6,0,0,0,0,0,0.02,0,0
Julian Draxler,GER,Paris S-G,Ligue 1,26,1993,11.8,4,12,5,41.7,1.02,0.42,0.33,0.8,15.3,0,0,0,2.2,2.2,0.18,1.8,1.8
Dominick Drexler,GER,Köln,Bundesliga,30,1990,13.7,2,12,2,16.7,0.88,0.15,0.17,1,12.1,0,0,0,2.8,2.8,0.23,-0.8,-0.8
Matthieu Dreyer,FRA,Lorient,Ligue 1,31,1989,15,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0
Domingos Duarte,POR,Granada,La Liga,25,1995,26.3,1,7,2,28.6,0.27,0.08,0.14,0.5,8.2,0,0,0,1.3,1.3,0.19,-0.3,-0.3
Léo Duarte,BRA,Milan,Serie A,24,1996,0.2,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0
Óscar Duarte,CRC,Levante,La Liga,31,1989,22.9,1,6,3,50,0.26,0.13,0.17,0.33,7.5,0,0,0,1.1,1.1,0.19,-0.1,-0.1
Rubén Duarte,ESP,Alavés,La Liga,24,1995,28.3,1,12,1,8.3,0.42,0.04,0.08,1,22.4,0,0,0,1.3,1.3,0.11,-0.3,-0.3
