player,nation,squad,comp,age,born,per_90,gls,sh,so_t,so_t_percent,sh_per_90,so_t_per_90,g_per_sh,g_per_so_t,dist,fk,pk,p_katt,x_g,npx_g,npxg_per_sh,g_minus_xg,npg_minus_xg
Tommaso Augello,ITA,Sampdoria,Serie A,25,1994,35.7,1,8,2,25,0.22,0.06,0.13,0.5,19.4,0,0,0,0.3,0.3,0.04,0.7,0.7
Jean-Kévin Augustin,FRA,Nantes,Ligue 1,23,1997,0.4,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0
Ludwig Augustinsson,SWE,Werder Bremen,Bundesliga,26,1994,21.7,0,17,6,35.3,0.78,0.28,0,0,17.9,3,0,0,0.9,0.9,0.05,-0.9,-0.9
Serge Aurier,CIV,Tottenham,English Premier League,27,1992,17.8,2,14,6,42.9,0.79,0.34,0.14,0.33,16.4,0,0,0,1.4,1.4,0.1,0.6,0.6
Charlie Austin,ENG,West Brom,English Premier League,31,1989,1.5,0,3,0,0,1.96,0,0,NA,19.3,0,0,0,0.2,0.2,0.07,-0.2,-0.2
Ezequiel Ávila,ARG,Osasuna,La Liga,26,1994,2.2,0,8,2,25,3.56,0.89,0,0,20.6,0,0,0,0.7,0.7,0.09,-0.7,-0.7
Taiwo Awoniyi,NGA,Union Berlin,Bundesliga,22,1997,15.1,5,29,13,44.8,1.92,0.86,0.17,0.38,11.2,0,0,0,6.9,6.9,0.24,-1.9,-1.9
Mehmet-Can Aydin,GER,Schalke 04,Bundesliga,18,2002,5.6,0,1,0,0,0.18,0,0,NA,27.3,0,0,0,0,0,0.01,0,0
Jordan Ayew,GHA,Crystal Palace,English Premier League,28,1991,23.3,1,25,11,44,1.07,0.47,0.04,0.09,16.7,0,0,0,2.4,2.4,0.09,-1.4,-1.4
Kaan Ayhan,TUR,Sassuolo,Serie A,25,1994,8.8,0,5,0,0,0.57,0,0,NA,15.1,2,0,0,0.5,0.5,0.1,-0.5,-0.5
Luke Ayling,ENG,Leeds United,English Premier League,28,1991,37.8,0,25,6,24,0.66,0.16,0,0,18.6,0,0,0,1.4,1.4,0.06,-1.4,-1.4
Ramon Azeez,NGA,Granada,La Liga,27,1992,1.1,0,2,0,0,1.78,0,0,NA,13,0,0,0,0.2,0.2,0.08,-0.2,-0.2
César Azpilicueta,ESP,Chelsea,English Premier League,30,1989,24.3,1,11,4,36.4,0.45,0.16,0.09,0.25,16.1,0,0,0,0.8,0.8,0.07,0.2,0.2
Ludovic Baal,GUF,Brest,Ligue 1,34,1986,3.3,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0
Carlos Bacca,COL,Villarreal,La Liga,33,1986,8.7,5,20,12,60,2.29,1.37,0.25,0.42,15.2,0,0,0,3.5,3.5,0.17,1.5,1.5
Loïc Bade,FRA,Lens,Ligue 1,20,2000,29,0,11,3,27.3,0.38,0.1,0,0,14.7,0,0,0,0.6,0.6,0.06,-0.6,-0.6
Milan Badelj,CRO,Genoa,Serie A,31,1989,26.8,1,17,4,23.5,0.64,0.15,0.06,0.25,23.7,0,0,0,0.5,0.5,0.03,0.5,0.5
Édgar Badía,ESP,Elche,La Liga,28,1992,30,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0
Benoît Badiashile,FRA,Monaco,Ligue 1,19,2001,31.9,2,23,4,17.4,0.72,0.13,0.09,0.5,14.1,0,0,0,1.9,1.9,0.08,0.1,0.1
Alex Baena,ESP,Villarreal,La Liga,19,2001,1.5,0,2,1,50,1.31,0.66,0,0,24,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Miguel Baeza,ESP,Celta Vigo,La Liga,20,2000,6,1,11,2,18.2,1.82,0.33,0.09,0.5,14.1,0,0,0,1.5,1.5,0.16,-0.5,-0.5
Stéphane Bahoken,CMR,Angers,Ligue 1,28,1992,18,6,57,23,40.4,3.17,1.28,0.11,0.26,16.7,0,0,1,7.4,6.6,0.12,-1.4,-0.6
Leon Bailey,JAM,Leverkusen,Bundesliga,22,1997,23.8,9,60,23,38.3,2.52,0.97,0.15,0.39,20.5,3,0,0,6.9,6.9,0.11,2.1,2.1
Eric Bailly,CIV,Manchester Utd,English Premier League,26,1994,10.2,0,2,0,0,0.2,0,0,NA,10,0,0,0,0.1,0.1,0.05,-0.1,-0.1
Stefan Bajic,FRA,Saint-Étienne,Ligue 1,18,2001,1,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0
Tiemoué Bakayoko,FRA,Napoli,Serie A,25,1994,21.8,2,16,4,25,0.73,0.18,0.13,0.5,16.9,0,0,0,1.1,1.1,0.07,0.9,0.9
Mitchel Bakker,NED,Paris S-G,Ligue 1,20,2000,18.8,0,2,2,100,0.11,0.11,0,0,14,0,0,0,0.2,0.2,0.1,-0.2,-0.2
Ridle Baku,GER,Wolfsburg,Bundesliga,22,1998,29.8,6,34,12,35.3,1.14,0.4,0.18,0.5,18.3,0,0,0,3.3,3.3,0.1,2.7,2.7
Ridle Baku,GER,Mainz 05,Bundesliga,22,1998,2,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0
Dilane Bakwa,FRA,Bordeaux,Ligue 1,17,2002,0.6,0,3,2,66.7,4.82,3.21,0,0,22.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1
